Date : 2026-01-14 14:07:12
Directory : c:\Users\Lzx_8\Documents\github\e_monopoly\src
Total : 66 files,  5751 codes, 14 comments, 874 blanks, all 6639 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |         66 |      5,751 |         14 |        874 |      6,639 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\land.lua                     | Lua      |        311 |          0 |         26 |        337 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\landing.lua                  | Lua      |         79 |          0 |          9 |         88 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\infra\rng.lua                       | Lua      |         42 |          0 |         10 |         52 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\infra\store.lua                     | Lua      |         43 |          0 |          9 |         52 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\ports\ui_port.lua                   | Lua      |         41 |          0 |          9 |         50 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\util\game_state.lua                          | Lua      |          9 |          0 |          5 |         14 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\util\logger.lua                              | Lua      |         60 |          0 |         10 |         70 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\util\random.lua                              | Lua      |         25 |          0 |          3 |         28 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\util\tables.lua                              | Lua      |         12 |          0 |          3 |         15 |
| Total                                                                                       |          |      5,751 |         14 |        874 |      6,639 |
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
